Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Health Plus Prepaid Health Services Plan, Inc.133-60 41st AvenueFlushing, NY 10013",Health Insurance Provider,Queens/Kings/Richmond/Bronx/New York | WIB Name: NEW YORK CITY| Region: New York CityHempstead | WIB Name: HEMPSTEAD | Region: Long Island,875,875,12/28/2011,-----,3/31/2012,Sale of Assets to Amerigroup New York,Plant Closing,Plant Closing,Employees are not represented by any union. There are no bumping rights at these locations.,"Keith Brauer, Vice President, Human Resources",(718) 840-4684,3466
"BLT Market Restaurant The Ritz-Carlton New York, Central Park50 Central Park SouthNew York, NY 10019",Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,"32- 21 Permanent Layoffs, 11 Temporary Layoffs (5 Layoffs are postponed to occur on 1/30/2012 and 2 layoffs will occur on 2/1/2012)",32,9/30/2011 Amended 12/28/2011,------,12/31/2011Restaurant expects to re-open in mid-June 2012.,Renovation and Restructuring,Temporary Plant Closing,Temporary Plant Closing,Hotel and Motel Trades Council,"Patrician G. Cousins, Vice-President and Assistant General Counsel",(301) 380-4274,3465
"Morgan Stanley (Various NYC sites)1221 Avenue of AmericasNew York, NY 10020",Financial services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,580 in all locations,12/27/2011,Rolling layoffs beginning on 12/15/2011,-----,Economic,Plant Layoff,Plant Layoffs,-----,"Eric Kayne, Human Resources",(212) 762-9804,3463
"Piedmont Airlines, Inc.LaGuardia International AirportFlushing, NY",Airline,New York | WIB Name: NEW YORK CITY| Region: New York City,299,299,12/27/2011,Will occur in two stages: 3/25/2012 and on 7/11/2012,7/11/2012,Finalized agreement between US Airways and Delta.,Plant Closing,Plant Closing,"Communications Workers of America, International Brotherhood of Teamsters","Michelle R. Foose, Director Human Resources",(484) 953-1544,3462
"Pinnacle Foods Group LLC607 Phillip StreetFulton, NY 13069",Frozen Food Distributor,Oswego | WIB Name: OSWEGO | Region: Central Region,-----,94,9/20/2011 Amended on 12/27/2011,These layoffs will occur on 12/21/2011 additional layoffs to occur through the closing of this facility.35 layoffs will be postponed to occur between 12/30/2011 and 3/31/2012.,Unsure of the closing date at this time.,Economic,Plant Closing,Plant Closing,Employees have no bumping rights.,"Earnie Pietrykowski, Human Resources Manager",(315) 598-7000 Extension 3226,3461
,Treasury Services Operations Deposit Accounting Operating Unit,New York | WIB Name: NEW YORK CITY | Region: New York City,47,47,12/23/2011,"Layoffs will occur in stages commencing on March 30, 2012 and continuing through",7/1/2012,Economic,Plant Unit Closing,Plant Unit Closing,The affected employees are not represented by a union.,"Janice E. Duckworth, Human Resources Manager",(412) 234-7829,3460
,Home care services,Queens | WIB Name: NEW YORK CITY| Region: New York City,1952,1952,9/26/2011  Updated: 12/23/2011,-----,Postponed from 12/31/2011 to 2/28/2012.,Reorganization of services to managed care provider contracts.,Plant Closing,Plant Closing,1191 SEIU. There are no bumping rights.,"Callie Tserpelis, Program Director",(718) 726-4444,3459
"Sodexo (St. Elizabeth Ann's Health Care & Rehab)91 Tompkins AvenueStaten Island, NY 10304",Food Services,Richmond | WIB Name: NEW YORK CITY| Region: New York City,43,43,12/22/2011,-----,"Previously schedule to occur on or about 9/15/2011, is now postponed to occur in January 2012",Possible Contract Loss based on sale of facility,Plant Closing,Plant Closing,1199 SEIU,"Georgia Calquhoun-Pryce, Human Resources Director",(516) 240-2205,3457
,Hotel,New York | WIB Name: NEW YORK CITY| Region: New York City,216,216,12/21/2011,-----,3/30/2012,Economic,Plant Closing,Plant Closing,Affected employees are not represented by a union.,"Maurice Rodrigues, Director of Operations",(646) 277-3314,3456
"New Process Gear, Inc. (Division of Magna Powertrain)6600 New Venture Gear DriveEast Syracuse, NY 13057",Automotive powertrain manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,498,12/21/2011,111 layoffs have been postponed to occur between 12/19/2011 through 1/1/2012.,11/30/2011,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,3455
