Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
TeleTech SDC,Service Delivery Center,Niagara | WIB: NIAGARA | Region: WESTERN REGION,-----,13,1/2/2009,3/4/2009,-----,Economic,Plant Layoff,Plant  Layoff,-----,"William Brierly,Vice President & Assistant General  Counsel",(303) 397-8100,2005
Roadway Express - Syracuse NY,Transportation,Onondaga | WIB: ONONDAGA  | Region: CENTRAL REGION,39,39,12/30/2008,3/1/2009   and for the two week period thereafter,3/15/2009,Economic,Plant Closing,Plant  Closing,International  Brotherhood of Teamsters Local 317,"Pete Hamilton, Area Director of Operations",(201) 507-0010,2003
Roadway Express - Garden City NY,Transportation,Oyster Bay | WIB: OYSTER BAY | Region: LONG ISLAND,36,36,12/30/2008,3/1/2009,3/15/2009,Economic,Plant Closing,Plant  Closing,International  Brotherhood of Teamsters Local 707,"Pete Hamilton, Area Director of Operations",(201) 507-0010,2002
Roadway Express,Transportation,Erie | WIB: ERIE  | Region: WESTERN REGION,338,338,12/30/2008,3/1/2009   and for the two week period thereafter,3/15/2009,Economic,Plant Closing,Plant Closing,Brotherhood of Teamsters Local 375 & 449,"Howard Moshier, Area Director of Operations",(330) 665-0218,2001
Yellow Transportation,Transportation,Tonawanda | WIB: ERIE  | Region: WESTERN REGION,-----,70,12/30/2008,3/1/2009 and for the two week period thereafter,-----,Economic,Plant Layoff,Plant  Closing,International Brotherhood of  Teamsters Local 375,"Paul Dooley, Area Director of Operations",(845) 427-2800,2000
Citigroup Inc. and it's NY Subsidiaries,Financial institution,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,------,1004,12/29/2008,3/3/09,-----,Economic,Plant Layoffs,Plant  Layoff,No union represents these  employees.,"Sheri Paulo, Director of Employee Relations",(415) 658-4507,1999
"ArcelorMittal USA Inc.
  3175 Lakeshore    Road
  Blasdell, NY 14219",Steel work,Erie | WIB: ERIE  | Region: WESTERN REGION,313,313,12/29/2008,Layoffs  begin 3/22/2009 and will commence in phases.,8/1/2009,Economic,,Plant  Closing,United Steel Workers Local Union 2604,"Nevin Hope,  Human Resource Manager",(716) 821-2244,1998
"Manpower Inc. (IBM)
2455 South Road
Poughkeepsie, NY 12601",Temporary workforce at IBM,Dutchess | WIB: DUTCHESS | Region: HUDSON VALLEY,-----,135,12/24/2008,Commencing on 1/5/2009,-----,IBM's decision to eliminate Manpower assignments at  this facility.,Layoff,Layoff,No bumping rights exist in connection with  this downsizing.,"Robin Rabideau, Branch Manager",(845) 462-6031,1996
"Thacher Proffitt & Wood LLP
  2 World Financial Center
  New York, NY 10281",Legal Firm,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,243,243,12/23/2008,12/31/2008,2/20/2009,Economic,,Plant  Closing,There is no union  representing the affected employees.,"Paul Tvetenstrand, Chariman of the Executive Committee",(212) 912-7452,1995
"VOOM HD a subsidiary of Rainbow HD Holdings LLC
  11 Penn   Plaza 2nd Floor
  New York, NY 10001",Distributor of HD Services,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,191 at both  sites,134,12/22/2008,12/18/2008,1/1/2009,Economic,Plant Closing,Plant Closing,None of the employees are  members of a union.,"Robert Doodian, Senior Vice President",(516) 803-3140,1994
"St. Rose's Home
  71 Jackson    Street
  New York, NY 10002",Home for terminally ill residents,New York | WIB: NEW YORK CITY | Region:  NEW    YORK CITY,40,39,12/18/2008,-----,3/31/2009,Economic,,Plant  Closing,-----,David F. Horan,(914) 686-7200,1993
"Plug Power
  968 Albany    Shaker Road
  Latham, NY 12110",R & D Fuel Cell,Albany  | WIB: CAPITAL DISTRICT | Region: CAPITAL DISTRICT,-----,68,12/18/2008,1/9/2009,-----,Economic,Plant Layoff,Plant  Layoff,-----,"Gerard L. Conway, General Counsel",(518) 738-0970,1992
Turning Point Facility of Saint Francis Hospital,Hospital,Dutchess | WIB: DUTCHESS  | Region: HUDSON VALLEY,34,34,12/16/2008,Will  commence between 3/15/2009-3/29/09,3/29/2009,Economic,Plant Closing,Plant  Closing,1199 SEIU United Healthcare Workers East,"Helen Rinaudo, Vice President Human Resources",(845) 431-8127,1991
"Credit Suisse Securities (USA) LLC
11 Madison    Avenue
New York, NY 10010",Financial institution,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,-----,759,12/16/2008,between  12/1/2008-12/31/08,-----,Reorganizing,Plant Layoff,Plant  Layoff,None of the affected  employees are represented by a union.,"Jennifer Frost, Director of Human Resources",(212) 538-3117,1990
"Proctor and Gamble Pharmaceuticals, Inc.",Phamaceuticals Manufacturing,Chenango  | WIB: CDO | Region: SOUTHERN TIER,94,94,12/15/2008,Layoffs  in several phases beginning 1/1/09 through closing date.,1/1/2010,Economic,Plant Closing,Plant  Closing,None of the employees at  this facility are represented by a union.,"Paul Keller, Site Manager",(607) 335-2742,1989
Antares Information Technologies Inc.,Information Technology,Suffolk | WIB: SUFFOLK | Region: LONG ISLAND,199 in both sites,199,12/15/2008,"Will commence in 4 phases: 12/8/08-12/19/08, 12/22/08-1/2/09,1/5/09-1/16/09,",1/31/2009,Economic,Plant Closing,Plant  Closing,None of the employees are  represented by a union or organization.,either:  Ron Krupka/Robert Schildkraut/Debbie O'Malley,(631) 234-5700,1988
"Goldman, Sachs & Co.
  85 Broad Street
  New York, NY 10004",Financial Services-Broker Dealer,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,----,200 total in 4 sites,12/10/2008,3/10/2009,-----,Economic,Plant Layoff,Plant  Layoff,The  affected employees are not represented by a union and are not entitled to any  bumping rights.,"Gena Palumbo, Vice President, Associate General  Counsel",(212) 357-2191,1987
"Welcome Wagon a subsidiary of Move Inc.
  245 Newton Road
  Plainview, NY 11803",Homeowner marketing company,Oyster Bay | WIB: OYSTER BAY | Region: LONG ISLAND,-----,,12/10/2008,12/9/2008,-----,Economic,Plant Layoff,Plant Layoff,None of the affected  employees is represented by a union.,"Carol Brummer, Vice President of Human Resources",(805) 557-2368,1986
Hussmann,Manufacturing,Fulton  | WIB: FMS | Region: CENTRAL REGION,92,92,12/9/2008,----,Will  occur on or around June 2009,Economic,Plant Closing,Plant  Closing,-----,Keith Gros,(518) 725-0644,1984
JPMorgan Chase Co.,Investment Banking,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,-----,500,12/8/2008,1/31/2009,-----,Economic,Plant Layoff,Plant  Layoff,-----,"Kathryn Wikman, Employee Relations Director",(212) 270-6080,1983
"DHL Express (USA), Inc.
650 Airport Way
Rochester, NY",Package delivery service,Monroe | WIB: MONROE | Region: FINGER LAKES,-----,10,12/8/2008,1/23/2009,-----,Consolidation and loss of revenue,Plant Layoff,Plant  Layoff,Teamsters  Local 118,"Trevis Hinds, Human Resources /PatriciaAnn Burke, Vice  President Labor Relations 
  Phone:  (203) 919- 0264/(954) 626-1888",,1982
"New England Laminates Co., Inc. NELCO
40 Governor Drive
Newburgh, NY  12550",Laminate Manufacturer,Orange | WIB: ORANGE | Region: HUDSON VALLEY,77,77,12/8/2008,Layoffs to occur between 1/9/2009 and 1/23/09,1/23/2009,Economic,Plant Closing,Plant Closing,-----,"John Jongebloed, President",(203) 755-1344,1981
"Morgan Stanley
750 Seventh Avenue  30th Floor
New York, NY 10019",Financial,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,-----,590,12/8/2008,11/1/2008,-----,Economic,Plant Layoff,Plant  Layoff,-----,Patricia L. Gould Executive Human Resource Director,(212) 762-3378,1980
"The Penn Traffic Company/ Quality Markets
  249 Fluvanna    Avenue
  Jamestown, NY 14701",Grocery store,Chautauqua | WIB: CHAUTAUQUA | Region: WESTERN REGION,62,62,12/5/2008,-----,2/2/2009,Economic,Plant Closing,Plant  Closing,UFCW Local One,"Christine McMahon, Sr VP of Human Resources and Labor  Relations",(315) 457-9460,1979
"Jamestown Container Companies
  85 Grand Street
  Lockport, NY 14074",Box Manufacturer,Niagara | WIB: NIAGARA | Region: WESTERN REGION,39,39,12/5/2008,Layoffs  will commence on 1/9/09 in phases through 3/2/09.,3/2/2009,Economic,Plant Closing,Plant Closing,Steelworkers Local 4-0129,"Fred Baker, Corporate Human Resource Manager",(716) 720-9903,1978
"DHL Express (USA), Inc.
1900 Corporate Blvd
Newburgh, NY 12550 - Plant Layoff",Package delivery service,Orange | WIB: ORANGE  | Region: HUDSON VALLEY,565  known for all sites listed,30,12/5/2008,1/23/2009,1/23/2009,Consolidation and loss of revenue,Plant Layoffs and Closings,Plant Layoffs and Closings,Teamsters Local 295 & 851,"Trevis Hinds, Human Resources/ Patricia Ann Burke,  Vice President Labor Relations/",Trevis  Hinds(203) 919-0264/Patricia Ann Burke  (954)626-1928,1977
"Aramark
Ellis Island Immigration   Museum
New York, NY 

  County: New York | WIB: NEW YORK CITY | Region:  NEW    YORK CITY",Food Service,,26,26,12/4/2008,-----,1/31/2009,Economic,Plant Closing,Plant Closing,CWA Local 1101,"Jackie Mandel, Regional Human Resources Manager",(215) 409-7913,1975
"Schrader-Bridgeport International, Inc.
5985 Tar Bell    Road
Syracuse, NY 13206",Manufacturing: industrial valves; process control  instruments,Onondaga | WIB: ONONDAGA  | Region: CENTRAL REGION,28,28,12/3/2008,-----,3/1/2009,Economic,Plant Closing,Plant  Closing,-----,"Linda Oldman, Global Director of Human Resources",(904) 265-8638,1974
"BH S & B Holdings LLC
901 Avenue of the Americas
New York, NY 10001",Retail store,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,92,92,12/2/2008,-----,1/17/2009,Economic,Plant Closing,Plant  Closing,None  of the employees are represented by a union.,Brian Kalmaer,(516) 267-7360,1972
"ChemRX
790 Park Place
Long Beach, NY 11561",Long  Term Care Pharmacy,Hempstead | WIB: HEMPSTEAD | Region: LONG ISLAND,-----,71,12/1/2008,1/30/2009,-----,Economic,Plant Layoff,Plant  Layoff,United Food and Commercial Workers International Union,"David Baldinger, Vice President, Pharmacy Integration  & Human Resources",(516) 536-0800 Ext 383,1971
"Sisters of St. Joseph/The  Academy of St. Joseph
  1725 Brentwood    Road
  Brentwood, NY 11717",School,Suffolk | WIB: SUFFOLK | Region: LONG ISLAND,41,41,12/1/2008,-----,8/31/2009,Economic,Plant Closing,Plant  Closing,-----,"Becky Campbell, Director of Human Resources",(631) 273-1187 Ext 13,1970
