Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Acitrezza, LLC (Agata & Valentina store) 64 University Place New York, NY 10003",Specialty Food,New York | WDB Name: NEW YORK CITY | Region: New York City,59,59,2/11/2021,"Separations will occur on May 12, 2021 or during the 14-day period beginning on that date.",5/12/2021,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Liz Patti, VP, HR Director",(212) 452-0690 Ext: 1400,45-1196450,2020-0423,9525
"Norwegian Air Resources US (formerly OSM Aviation, Inc.)JFK Terminal 1, JFK International Airport Jamaica, NY 11430",Airport Support (Long-haul operation),Queens | WDB Name: NEW YORK CITY | Region: New York City,-----,204,3/18/2020 Amendment: 2/11/2021,A total of 198 employees that were furloughed on 3/22/2020 have been permanently separated effective 2/11/2021. An additional six (6) (Non-union) employees have been permanently separated effective 2/11/2021.,-----,Unforeseeable business circumstances prompted by COVID-19.FEIN NUM: 32-0419760,Plant Layoff,Plant Layoff,"Association of Flight Attendants – CWA, AFL-CIO","Beate Jakobsen, HR Business Manager",(954) 270-0515,,2019-0511,9524
"Michael Page International Inc. 622 Third Avenue, 29th Floor New York, NY 10017",Employment Agency,New York | WDB Name: NEW YORK CITY | Region: New York City,----,253,4/8/2020Amendment: 2/12/2021,An additional 13 employees have been permanently separated between 1/22/2021 and 2/8/2021.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Alyssa Williams, Head of HR Operations",(203) 905-5216,65-0790985,2019-1187,9523
"Maryhaven Center of Hope, Inc. (Angel Guardian Home) 720 Albin Avenue West Babylon, NY 11704",Group Home,Suffolk | WDB Name: SUFFOLK | Region: Long Island,45,45,2/12/2021,Employment separations are expected to begin between 5/13/2021 and 5/27/2021.,5/13/2021,Maryhaven will be coming under a different sponsor within the next few months. The Angel Guardian Home will not be part of that transition.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Eva Tarantino, Vice President, Human Resources",(631) 474-4100,11-2861698,2020-0422,9522
"Entergy Nuclear Operations, Inc.; Entergy Services, LLCIndian Point Energy Center (IPEC) (owned by Entergy Nuclear Indian Point 2, LLC & Entergy Nuclear Indian Point 3, LLC) 450 Broadway Buchanan, NY 10511",Nuclear Power Plant,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,308,308,2/12/2021,5/20/2021,5/20/2021,Economic,Plant Closing,Plant Closing,UWUA Local 1-2; Teamsters Local 456,"Grace Sanseverino, IPEC - Manager, Human Resources",(914) 272-3223,13-4120330,2020-0421,9521
"American Airlines, Inc.",Air carrier,Queens | WDB Name: NEW YORK CITY | Region: New York City,----,"2,301",7/15/2020Amendment: 2/5/2021,"Furloughs for 1,326 employees (LaGuardia Airport: 1,067; LaGuardia Apt Hgr 3: 7; JFK Int’l Apt: 250; and JFK Hanger 10: 2) will occur on or between 4/1/2021 and 4/14/2021. A total of 28 permanent separations will occur for 28 employees (LaGuardia Airport: 7; LaGuardia Apt Hgr 3: 1; JFK Int’l Apt: 17; and JFK Cargo Bldg 79: 3).",-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff/Plant Layoff,Temporary Plant Layoff/Plant Layoff,,"Tiffany Schildge, Manager-HR Compliance",(682) 278-0544,13-1502798,2020-0036,9520
"Rochester Drug Co-Operative, Inc. 50 Jet View Drive Rochester, NY 14624",Drug distribution company,Monroe | WDB Name: MONROE | Region: Finger Lakes,98,98,2/13/2020 Amendment: 12/17/2020; 12/18/2020; 12/22/2020; 2/4/2021,A total of 11 employee separations have been postponed from 1/29/2021 – 2/12/2021 to 3/17/2021 – 3/31/2021.,To be determined,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Edna Ospin, Human Resources Manager",(800) 333-0538 Ext: 5390,16-0729574,2019-0294,9519
"Hawkfish, LLC 120 Park Ave New York, NY 10165",US political data and technology-based agency.,New York | WDB Name: NEW YORK CITY | Region: New York City,108,108,2/8/2021,"The business will be closing effective May 9, 2021 affecting 108 employees. All separations will occur on May 9, 2021.",5/9/2021,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Josh Mendelsohn, Chief Executive Officer, Hawkfish, LLC",(855) 492-1033,83-3792922,2020-0420,9518
"CBRE 70 West Red Oak Lane White Plains, NY 10604",Commercial Real Estate Services,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,35,9,11/6/2020Amendment: 2/8/2021,"Of the total 35 employees initially affected, 16 employees have accepted roles at other locations or are working remotely. Ten employees resigned prior to the closing. Nine employees have been permanently separated effective 2/5/2021.",2/5/2021,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Christine Murphy, SPHR, SHRM-SCP, Senior Business Partner",(202) 585-5662,95-2743174,2020-0351,9517
Envoy Air Inc.(JFK and LaGuardia),Air carrier,Queens | WDB Name: NEW YORK CITY | Region: New York City,----,578,7/17/2020 Amendment: 2/4/2021,Furloughs for 422 employees (JFK-132; LGA-290) will occur on or between 4/1/2021 and 4/14/2021. These employees were previously furloughed in October 2020 and they were recalled as part of the CARES Act PSP passed by Congress in December 2020 which returned airline employees to the payroll for the time period 12/1/2020 – 3/31/2021.,----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,,"Christopher Pappaioanou, Envoy Air Inc.",(602) 820-9181,38-2036404,2020-0039,9515
