Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"NBC Universal
                            30 Rockefeller Plaza
New York, NY 10112",Television broadcasting,New York | WIB: NEW YORK CITY | Region: NEW YORK CITY,-----,A  total of approximately 489 individuals were  given notices of possible layoffs.,12/31/2007,Not  provided,-----,"On November 5, 2007, the Writers Guild of America  (WGA) initiated a strike against some of the film and television productions  that were signatory to the 2004 WGA Agreement, or otherwise have work within  the WGAs jurisdiction, including NBC Universal. At this stage, it is not possible to predict  how long that work stoppage might last.",Conditional Layoff,Possible  Layoffs,WGA,,(212) 664-7024,1716
"MAXjet Airways
Terminal 4 JFKIAT, JFK International   AirportJamaica,  NY  11430",Airlines,Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,110,110,12/27/2007,12/24/2007,1/7/2008,Economic,Plant Closing,Plant  Closing,-----,"John Severson, EVP, and Chief Financial Officer",(703) 574-6601,1715
"Interboro Institute, Inc. (Main Campus)
   450 W.    56th Street
   New York, NY 10019",Junior Colleges,New York | WIB: NEW YORK CITY | Region: NEW YORK CITY,191,191,12/21/2007,12/21/2007,12/21/2007,"The  decision to close Interboro was caused by an unsuccessful attempt to raise  additional capital for Interboro that would allow the college to transition its  educational programs to a model that could succeed despite changes in ability  to benefit (""ATB"") test regulations that were mandated by the New  York Board of Regents on September 11, 2007.",Plant Closing,Plant  Closing,Local 153 -  OPIEU,"Michael J. O'Brien, Esq.",(646) 346-6165,1713
"Washington Mutual
		1983 Marcus Avenue
Lake Success, NY  11042",Financial Institute,"Nassau | WIB: Oyster Bay  | Region: Long Island
		New York / WIB:  NYC / Region:  NYC",75,75,"12/17/2007 					

Control Number:  2007-W092 - W093

Rapid Response Specialist	: Frederick Danks
Linda Foehr
Reason Stated for Filing: 	Plant Closing
Company:	Washington Mutual
		1983 Marcus Avenue
Lake Success, NY  11042
County:		Nassau | WIB: Oyster Bay  | Region: Long Island
		New York / WIB:  NYC / Region:  NYC
Contact:		Joseph Massey, Vice President/Manager - Business Strategy
Phone:  (206) 500-2073
Business Type: 	Financial Institute
Number Affected:     75
Total Employees:	      75
Layoff Date:	2/15/2008
Closing Date:	2/15/2008
Reason for Dislocation:	Restructuring of company
ERNUM:   -----
Union:	Washington Mutual does not provide ""bumping rights"" for displaced employees.
Classification: 	Plant Closing
Other Site Affected:
2007-W093:  623 Fifth Avenue, New York, NY 10022 (64 affected)",2/15/2008,2/15/2008,Restructuring of company,Plant Closing,Plant Closing,"Washington Mutual does not provide ""bumping rights"" for displaced employees.","Joseph Massey, Vice President/Manager - Business Strategy",(206) 500-2073,1706
"CompUSA, Inc. (Store #551)
		420 Fifth Avenue",,,,,12/17/2007,,,,,Plant Closing,,,,1705
"Standard Motor Products, Inc. 
(SMP)37-18 Northern 
BoulevardLong Island 
City, NY 11101","Manufacturer and distributor of replacement parts for motor 
vehicles",Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,171,171,12/17/2007,4/1/2008,6/30/2008,"Manufacturing plant relocated to Independence, Kansas 
and Reynosa, Mexico",Plant Closing,Plant Closing,Local 365 of the United Automobile Workers,Debbie James,(718) 392-0200,1704
"Great Lakes Bancorp, Inc.
2421 Main Street
Buffalo, NY  14210",Bank holding company,Erie | WIB: ERIE  | Region: WESTERN REGION,-----,117,12/17/2007,2/15/2008,-----,"Pending Shareholder approval, Great Lakes Bancorp, Inc. will be acquired by First Niagara Financial Group, Inc. at the close of business on February 15, 2008.",Mass Layoff,Mass Layoff,Non-union staff are affected by this staff reduction.  Bumping rights do not exist.,"Jill M. Kelly, Vice President, Human Resources Services",(716) 625-7530,1703
"Ideal Merchandising Division of DDP Holdings, Inc.  (Corporate offices)
   441 Apollo    Beach Boulevard
  Apollo Beach, FL 33572",Stocks shelves in the plumbing and electricity supply  sections for larger retailers,"Suffolk | WIB: Suffolk | Region: Long Island 
   
  Contact: Jon Woodham, HR Administrator with SPMI, a Human  Resource Outsourcing Company",(There are a total of 751 permanent  full-time employees in the company throughout the United States.),1,12/11/2007,1/30/2008,1/30/2008,This action is because of an unforeseeable loss of  contract to provide services which is the sole function of the business.,Other,Layoff;  Plant Closing,The company is not a union facility.,,(479) 474-7752,1700
"Delta Funding Corporation (DFC)
   1000 Woodbury    Road
  Woodbury, NY 11797",Specialty consumer finance company,Nassau | WIB: OYSTER BAY | Region: LONG ISLAND,-----,191,12/11/2007,12/7/2007,-----,DFC's decision to seek bankruptcy protection,Mass Layoff,Mass  Layoff,The affected employees are not represented  by a labor organization and no transfer or “bumping rights” are applicable.,"Leah Landro, Senior Vice President, Human Resources",(516) 812-8278,1699
"Stoffel Seals Corporation
   400 High Avenue
  Nyack, NY 10960",Manufacturer of Security Seals and Brand  Identification,Rockland | WIB: ROCKLAND | Region: HUDSON VALLEY,66,66,12/10/2007,April 2008,April 2008,"Relocating production to Tallapoosa,   Georgia",Plant Closing,Plant  Closing,None of the affected employees are  represented by a union.,"Carol Stokes, Human Resources Manager",(845) 689-3008,1694
