Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
CORNELL UNIVERSITY / TCAT,TRANSPORTATION,TOMPKINS | SSA Name: TOMPKINS | Region: SOUTHERN TIER,71,71,11/2/2004 Control Number: 2004-064,1/1/2005,1/1/2005,NEW VENDOR- The Thompson Consolidated Area Transit is being replaced.,PLANT CLOSING,UNIT CLOSING,,"RICHARD CARNRIKE, GEN.MGR. FOR TCAT, 607 277-7433",,999
SCHINDLER ELEVATOR CORP.,ELEVATOR,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,55,55,11/2/2004 Control Number: 2004-w063,12/31/2004,12/31/2004,ECONOMIC,PLANT CLOSING,CLOSING,IAM,"ROGER CUTSINGER, MGR., 419 869-5142",,998
"SAFECO FINANCIAL INSTITUTION SOLUTIONS, INC.",FINANCIAL,ALBANY | SSA Name: CAPITAL DISTRICT | Region: CAPITAL DISTRICT,72,72,10/29/2004 Control Number: 2004-062,12/31/2004,12/31/2004,ECONOMIC,PLANT CLOSING,CLOSING,,NICOLE O'SHAUGHNESSY Phone: 518 782-8680,,997
NORTH FORK BANKCORPORATION,BANKING,NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND,113,113,10/29/2004 Control Number: 2004-061,12/31/2004,1/13/2005,ECONOMIC,PLANT CLOSING,CLOSING,,"KATHERINE BIGLIN, SR. V.P.",631 844-4160,996
"RF POWER COMPONENTS - ANAREN, INC.",SUPPLIER OF MICROWAVE COMPONENTS,SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND,81,81,10/29/2004 Control Number: 2004-w060,12/17/2004,12/17/2004,"ECONOMIC - er states that regardless of the actual date of layoff, any employee who remains employed until their services are no longer required will receive their pay through and including 12/31/04",,CLOSING,,"AMY TEWKSBURY, HR",315 432-8909,995
SPORTSERVICE CORPORATION,MANAGEMENT SERVICE,ERIE | SSA Name: ERIE | Region: WESTERN REGION,24,24,10/28/2004 Control Number: 2004-059,8/6/2004,12/31/2004,NEW VENDOR HIRED,,UNIT CLOSING,,"MARIAN WIDMER, GEN. MGR.",716 631-7555,994
"SCALAMANDRE SILKS, INC.",MFG. OF FABRICS,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,95,65,8/5/2004 Control Number: 2004-058,12/31/2004,---,ECONOMIC - Co. has several units. They will be outsourcing the fabric printing and paper printing units; relocating the weaving unit to S. Carolina; and retaining only the trimming division at the NY location.,MASS LAYOFF<,LAYOFF,UNITE,KYLE HOMAN,212 265-7000,993
RESTAURANT ASSOCIATES,FOOD SERVICE,NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,107,107,10/21/2004 Control Number: 2004-057,12/3/2004,12/3/2004,ECONOMIC - END OF CONTRACT OT PROVIDE FOOD SERVICE AT THE JP MORGAN CHASE SITE,,CLOSING,,DAVID ECKWALL; 914 935-5335,,991
"LE CIRQUE
		455 MADISON AVENUE
NEW YORK, NY  10022
County:		NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		BENITO SEVARIN, GEN. MGR.; Phone: 212 303-7754

Business Type: 	RESTAURANT

Number Affected:	103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","RESTAURANT

Number Affected:	103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		BENITO SEVARIN, GEN. MGR.; Phone: 212 303-7754

Business Type: 	RESTAURANT

Number Affected:	103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING",,"12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING","ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING",PLANT CLOSING,"CLOSING

Company:	LE CIRQUE
		455 MADISON AVENUE
NEW YORK, NY  10022
County:		NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		BENITO SEVARIN, GEN. MGR.; Phone: 212 303-7754

Business Type: 	RESTAURANT

Number Affected:	103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING",,"BENITO SEVARIN, GEN. MGR.; Phone: 212 303-7754

Business Type: 	RESTAURANT

Number Affected:	103

Total Employees:		103

Layoff Date:	12/31/2004	

Closing Date:	12/31/2004	

Reason for Dislocation:	ECONOMIC

ERNUM: 0896042			Union:	NYHMT

Classification: 	PLANT CLOSING",,990
"CAPITOL VIAL, INC.
		77 UNION ST.
FULTONVILLE, NY  12072
County:		MONTGOMERY | SSA Name: FMS  | Region: CENTRAL REGION

Contact:		LUANNE CLAYTON, HR;  334 887-8311

Business Type: 	MEDICAL SUPPLIES

Number Affected:	48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","MEDICAL SUPPLIES

Number Affected:	48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","MONTGOMERY | SSA Name: FMS  | Region: CENTRAL REGION

Contact:		LUANNE CLAYTON, HR;  334 887-8311

Business Type: 	MEDICAL SUPPLIES

Number Affected:	48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING",,"12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING","ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING",PLANT CLOSING,"CLOSING	

Company:	CAPITOL VIAL, INC.
		77 UNION ST.
FULTONVILLE, NY  12072
County:		MONTGOMERY | SSA Name: FMS  | Region: CENTRAL REGION

Contact:		LUANNE CLAYTON, HR;  334 887-8311

Business Type: 	MEDICAL SUPPLIES

Number Affected:	48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING",,"LUANNE CLAYTON, HR;  334 887-8311

Business Type: 	MEDICAL SUPPLIES

Number Affected:	48

Total Employees:		48

Layoff Date:	12/18/2004	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  74-14074			Union:	NONE

Classification: 	PLANT CLOSING",,989
