Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Eastman Kodak Company (Kodak  Office) 343 State Street Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,12/11/2015,3/9/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected  worker is not represented by a union.,"Kim M. Chesher-Nguyen, Supervisor, Benefits  Manager",(585) 781-1758,5398
"Eastman Kodak  Rochester Tech Park 789 Elmgrove Road, Building 9 Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,12/18/2015,3/15/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5397
"NRG Energy, Inc. Huntley Generating Station 3500 River Road Tonawanda, NY14150",Power Plant,Erie | WIB Name: ERIE | Region: Western Region,72,72,12/18/2015,to occur between 3/31/2016 and 6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers -  Local Union 97,"Thomas Thomas, Human Resources Manager",(315) 349-2369,5396
"Credit Suisse Securities (USA) LLC One Madison Avenue and Eleven Madison Avenue New York, NY 10010",Financial Institution,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,307,12/1/2015,to occur between 12/1/2015 through 3/31/2016,-----,Economic,Plant Layoff,Plant Layoff,"No bumping rights exist, and employees are not represented by a union.","Brennan McDonough, Director, Human Resources",(212) 538-7303,5394
"MYPublisher, Inc. (Shutterfly) 8 Westchester Plaza Elmsford, NY10523",Publishing,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,-----,46,1/28/2015 Amended 12/14/2015,to occur between 5/1/2015 and 7/31/2015,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights at this facility and employees are not represented by any union.,"Nancy Suddreth, Sr. Manager, Human Resources",(803) 578-8188,5393
"AdvantageCare Physicians, P.C. 1 MetroTech Center North Brooklyn, NY11201",Call Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,133,133,12/17/2015,to occur between 3/15/2016 and 5/13/2016 or within 14 days of these dates,5/13/2016 or within 14 days of this date,Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Jessica  Chiclacos, AVP, Employee Relations",(646) 680-1303,5391
"Eastman Kodak  Rochester Tech Park 789 Elmgrove Road, Building 9 Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,12/14/2015,3/12/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5390
"Catholic Health Services Home Support Services (CHS) 15 Power Drive Hauppauge, NY11788",Home Support Services,Suffolk | WIB Name: SUFFOLK | Region: Long Island,38,38,2/6/2015 Amended 12/7/2015,to occur between 12/15/2015 and 12/30/2015,12/30/2015,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,Plant Closing,Plant Closing,None of the affected employees are represented by a union or will have “bumping” rights to other positions.,"Mary Ellen Polit, Chief Administrative Officer",(631) 465-6457,5389
"Morrison Management Specialists, Inc. @ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Dining and Housekeeping Services,Kings | WIB Name: NEW YORK CITY | Region: New York City,41,41,8/31/2015  Amended 12/9/2015,2/29/2016,2/29/2016,Loss of Contract for Services,Plant Closing,Plant Closing,SEIU Local 1199,"Eileen Juaire, HR Generalist",(508) 479-3041,5387
"British Airways John F. Kennedy International Airport, Terminal 7, Building 59 Jamaica, NY11430",Passenger Handling,Queens | WIB Name: NEW YORK CITY | Region: New York City,-----,143 affected - 81 notices rescinded,8/24/2015,11/24/2015,-----,Contract Expiration,Plant Layoff,Plant Layoff,International Association of Machinists and Aerospace Workers,"Denise Cerniglia, Employee Relations Manager",(212) 716-0466,5385
"Bank of America - Shared Service Operations Unit 5701 Horatio Street Utica, NY13502",Financial Services - Customer Contact Center,Oneida | WIB Name: HMO | Region: Mohawk Valley Region,-----,234,12/11/2015,to occur between 3/31/2016 and 7/31/2016,-----,Consolidation of Services,Plant Layoff,Plant Layoff,No bumping rights exist.Associates at this site are not represented by a Union.,"John Collingwood, Senior Vice President",(202) 661-7130,5384
"Morgan Stanley (Various NYC sites) 1585Broadway New York, NY10036",Financial services,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,358 for all locations,12/8/2015,3/7/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights are not recognized. Terminated employees are not permitted to displace remaining employees based on seniority or any other factor.,"Joe Falencki, Manager Director, Human Resources",(212) 761-8103,5383
"Capsys Corporation Brooklyn Navy Yard, Building 2 63 Flushing Avenue, Unit 240 Brooklyn, NY11205",Modular building manufacturer,Kings | WIB Name: NEW YORK CITY | Region: New York City,54,54,12/11/2015,3/11/2016,3/11/2016,Economic,Plant Closing,Plant Closing,New York City and Vicinity District Council of Carpenters.,"Robby Kullman, General Manager",(718) 403-0050,5382
"Novartis Pharmaceuticals Corporation 25 Old Mill Road Suffern, NY10901",Pharmaceutical Manufacturing,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,----,60,12/8/2015,7th phase of layoffs to occur during a 14-day period commencing on 3/31/2016 and ending on or about 9/30/2016.,To occur in 2016 – no definite date indicated at this time.,Economic,Plant Closing,Plant Closing,No union representation; bumping arrangements are not available for affected  employees.,"Luz Rodgers, Head, Human Resources",(845) 368-6086,5381
"PCH Communications d/b/a Commonground/MGS 228 East 45th Street, Floor 14 New York, NY10017",Marketing/Advertising,New York | WIB Name: NEW YORK CITY | Region: New York City,28,28,12/5/2015,12/5/2015,12/5/2015,Economic,Plant Layoff,Plant Closing,None,"Lena Economos, VP People & Culture",(312) 229-7823,5380
"RCS Capital Corporation - (Realty Capital Securities) 405 Park Avenue New York, NY10022",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,79,79,12/3/2015,to occur between 11/20/2015 and 3/15/2016,3/15/2016,Economic,Plant Closing,Plant Closing,No bumping rights in connection with this action.None of the employees affected are represented by a union.,"Jacqueline Romanillos, Senior Human Resources Generalist",(646) 558-1187,5379
"Briarcliffe College, Inc. 1055 Stewart Avenue Bethpage, NY11714",College,Nassau/Suffolk | WIB Name: OYSTER BAY/SUFFOLK | Region: Long Island,171,171,12/4/2015,to occur between 3/6/2016 and 12/31/2018,12/31/2018,Economic,Plant Closing,Plant Closing,None of the affected are represented by a labor organization.,Nicole Herzog,(224) 293-5571,5378
"FC Modular, LLC Brooklyn Navy Yard 63 Flushing Avenue, Bldg. 293 Brooklyn, NY11205",Prefabricated modules manufacturing factory,Kings | WIB Name: NEW YORK CITY | Region: New York City,218,218,11/30/2015,may occur during the 14-day period beginning on 2/29/2016,2/29/2016,Economic,Possible Plant Closing,Possible Plant Closing,,"Deborah Razzano, Manager of Human Resources",(718) 923-9518,5376
"Sterling National Bank 400 Rell Boulevard Montebello, NY10901",Financial Institution,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region County: Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region County: New York/Kings | WIB Name: NEW YORK CITY | Region: New York City,-----,1,11/30/2015,to occur between 2/28/2016 and 3/29/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Jean Strella, M.S., CBP, CCP, SPRH, Senior Vice President, Chief Human Capital Officer",(845) 369-8086,5375
"Service America Corporation d/b/a Centerplate d/b/a John Harvard's Brew House 2093 Smithhaven Plaza Lake Grove, NY11755",Restaurant,Suffolk | WIB Name: SUFFOLK | Region: Long Island,56,56,11/25/2015,2/25/2016,2/25/2016,Economic,Plant Closing,Plant Closing,Employees have no bumping rights.,"David Winarski, Vice President of Human Resources",(864) 248-2091,5374
"Jaffe & Asher LLP 600 East 3rd Avenue New York, NY10016",Law Offices,New York | WIB Name: NEW YORK CITY | Region: New York City,Approx 119,75,11/25/2015,2/23/2016,-----,Economic,Plant Layoff,Plant Layoff,No union involvement.,"Scott Ross, CFO",(646) 313-2523,5373
"British Airways John F. Kennedy International Airport, Terminal 7, Building 59 Jamaica, NY11430",Passenger Handling,Queens | WIB Name: NEW YORK CITY | Region: New York City,-----,117 affected - 81 notices rescinded,8/24/2015,11/24/2015,-----,Contract Expiration,Plant Layoff,Plant Layoff,International Association of Machinists and Aerospace Workers,"Denise Cerniglia, Employee Relations Manager",(212) 716-0466,5372
"Condé Nast(Details Magazine) One World Trade Center New York, NY 10007",Publishers,New York | WIB Name: NEW YORK CITY | Region: New York City,61,61,11/20/2015,11/20/2015,12/31/2015,Economic,Plant Closing,Plant  Closing,No employees are  represented by unions and no employees have bumping rights.,"Nicole Zussman, Vice President, Human Resources",(212) 286-4572,5371
"Morrison Management Specialists, Inc. @ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Dining and Housekeeping Services,Kings | WIB Name: NEW YORK CITY | Region: New York City,41,41,8/31/2015 Amended 11/20/2015,12/31/2015,12/31/2015,Loss of Contract for Services,Plant Closing,Plant Closing,SEIU Local 1199,"Eileen Juaire, HR Generalist",(508) 479-3041,5369
