Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Veritext 16 Court Street, 9th Floor Brooklyn, NY 11241",Legal Services,Kings | WDB Name: NEW YORK CITY | Region: New York City,-----,20,3/26/2020,4/1/2020,-----,Unforeseeable business circumstances prompted by COVID-19,Plant Layoff,Plant Layoff,The employees are not represented by a union,"Maureen Cumbaluk, Vice President of Human Resources",(973) 549-4427,20-3132569,2019-0711,9513
"Victor's Cafe 52nd St., Inc. 236 West 52nd St. New York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,65,65,3/21/2020,The restaurant temporarily closed impacting 65 employees on 3/20/2020. The restaurant currently remains closed.,3/20/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Monica Zaldivar, Director of Operations",(305) 710-7431,13-3010793,2019-1974,9507
"The Solita Soho Hotel 159 Grand Street New York, NY 10013",Hotel,New York | WDB Name: NEW YORK CITY | Region: New York City,14,14,3/19/2020,The hotel temporarily closed on 3/21/2020 impacting 14 employees on 3/19/2020 and 3/20/2020. The hotel re-opened on 8/27/2020 and closed again on 12/26/2020. It is not certain when and how many employees will be recalled.,3/21/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Julie Cho, General Counsel",(973) 865-7019,59-3578989,2019-0653,9499
"Colony Club 564 Park Avenue New York, NY 10065",Hotel,New York | WDB Name: NEW YORK CITY | Region: New York City,60,60,3/16/2020Amendment: 12/14/2020,Forty-one (41) employees that were temporarily separated beginning on 3/18/2020 and subsequently recalled have again been temporarily separated on 12/14/2020 due to the temporary closing of the hotel.,5/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Arthur L. Maguire, General Manager",(212) 838-4200,65-0121767,2019-0680,9468
"Sushi Nakazawa LLC 23 Commerce Street New York, NY 10014",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,44,3/26/2020Amendment: 12/13/2020,Twenty-nine (29) employees that were temporarily separated beginning on 3/16/2020 and subsequently recalled have again been temporarily separated during the 14-day period starting on 12/14/2020. This is due to the temporary closing of the restaurant on 12/14/2020.,12/14/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Anna Borgognone, HR Coordinator",(646) 209-1687,46-2449415,2019-0749,9467
"Wellington Hotel Company, Inc. 871 7th Ave. New York, NY 10019",Hotel,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,122,3/19/2020Amendment: 12/21/2020,Twenty-nine (29) employees that were temporarily separated beginning on 3/18/2020 and subsequently recalled have again been temporarily separated on or about 12/27/2020 due to the temporary closing of the hotel.,12/27/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Rumi Bhuiyan, General Manager",(646) 277-0051,13-3187865,2019-0679,9466
"1661, Inc. dba GOAT and Flight Club New York, LLC 812 Broadway New York, NY 10003",Footwear Retailer,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,78,3/30/2020Amendment: 12/23/2020,Temporary furloughs that began on 3/30/2020 for 53 employees and that were expected to last through 12/31/2020 will be extended until 3/31/2021.,-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,The employees are not represented by a union.,"Daniel Bay, Associate VP, People",(415) 689-4168,82-3808652,2019-0933,9465
"Robataya NY LLC dba Sakagura 231 E. 9th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,13,3/20/2020Amendment: 10/13/2020,Separations for 13 employees were effective on 10/13/2020.,9/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Shuji Yagi, President",(212) 228-3030,----,2020-0403,9464
"Tokyo Mama Inc., dba Otafuku 220 East 9th StreetNew York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,7,3/15/2020Amendment: 10/13/2020,Separations for 7 employees were effective on 10/13/2020.,9/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Shuji Yagi, President",(212) 228-3030,13-3484667,2020-0404,9463
"Hasaki Restaurant, Inc. 210 E. 9th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,15,3/20/2020Amendment: 10/13/2020,Separations for 15 employees occurred on 10/13/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3092316,2019-0765,9462
