Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"TeleTech Niagara Falls CMC
   333 Rainbow    Blvd. North
  Niagara Falls, NY",Customer Management Center,Niagara | WIB: NIAGARA | Region: WESTERN  REGION,-----,548,1/3/2006,2/28/2006,2/28/2006,Loss of contract,,Plant  Closing,There are no bumping rights that exist with  regard to these positions.,"John R. Simon, Senior VP, HR",(303) 397-8100,1292
"Tops Markets, LLC
   217 Erie    Boulevard West
  Rome, NY",Grocery,"Oneida  | WIB: HMO | Region: CENTRAL  REGION
   Chenango / WIB: CDO / Region: SOUTHER  TIER",85,85,1/10/2006,3/6/2006,3/24/2006,Economic,Closure,Plant  Closing,"United Food  and Commercial Workers, Local One","John P. Barrett, Sr. Vice President, HR",(716) 635-5949,1294
"Del Laboratories, Inc. (LaSalle Labs)
   Riverside Industrial Park
  Little Falls, NY 13365
  County: Herkimer | WIB: HMO | Region: CENTRAL  REGION",Manufacturer/marketer of cosmetics & OTC  pharmaceuticals,,350,350,1/17/2006,1/13/2006,12/31/2006,"Transfering operations to Rocky Point, NC  facility",,Plant  Closure,Employees affected are not represented by  any labor organization.,"Patrick Lloyd, VP of HR",1-800-645-9888 ext. 2333,1295
"Upstate
   48 Barn Road
  Lake Placid, NY 12946",Cell Signaling Solutions,Essex | WIB: ACCESS |  Region: CAPITAL DISTRICT,61,61,1/17/2006,3/31/2006,3/31/2006,Economic,,Plant  Closing,There are no bumping rights.,"Celia Hoke, Executive Director of HR",1-800-437-7500,1297
"International Paper  (Aviation Offices)
   20 Hangar Road
  White Plains, NY 10604",Aviation Offices,Westchester  | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,-----,9,1/18/2006,8/1/2006,8/1/2006,"Relocation of Aviation Offices to Memphis, TN.",,Plant  Unit Closure,No labor union represents the affected  employees.,"James B. Livingston, Director Human Resources",(203) 541-8519,1298
"Micron
   50 Alexander    Court
  Ronkonkoma, NY",Electronics,Suffolk  | WIB: SUFFOLK | Region: LONG ISLAND,67,67,1/20/2006,4/3/2006,6/30/2006,"Relocation to Amherst,   NY",Closing,Plant  Closing,There are no bumping rights.,"Barry C. Bistis, GM",(716) 691-9100,1299
"NRNH, Inc. dba Jennifer Matthew   Nursing & Rehabilitation Center
   1335 Portland    Avenue
  Rochester, NY 14621",Nursing and Rehabilitation   Center,Monroe | WIB: MONROE | Region: FINGER LAKES,123,123,1/23/2006,4/28/2006,4/28/2006,By order of the New York State Department of Health,,Plant  Closing,-----,"Marc Walker, Administrator",(585) 544-4000,1300
"G + G Retail, Inc.
   Corporate Headquarters
   520 8th Avenue
  New York, NY 10018",Girls' Apparel,New York City | WIB:  NEW YORK CITY | Region: NEW YORK CITY,140,140,1/24/2006,1/20/2006,Employees  will be permanently terminated in several phases beginning 1/20/06.,Economic,,Plant  Closing,-----,Ray Brown,(212) 279-4961,1301
"Macy's (at Albany Crossgates Mall)
   420 Washington    Ave  Extension
  Albany, NY 12203",Retail,Albany  | WIB: CAPITAL DISTRICT | Region: CAPITAL  DISTRICT,-----,251 (Macy’s and Filene’s),1/24/2006,3/21/2006,4/3/2006,"Consolidation between Filene's and Macy's stores in  Crossgates Mall. As a result of this  consolidation, Macy’s will be permanently closed in its entirety, and there  will be a reduction in force among the associates at these two stores.",,Plant  Closing,The affected employees do not have “bumping  rights” and are not represented by any labor organization or other  representative.,Michelle Ravo,(212) 494-2909,1302
"Child's Nursing Home Company, Inc.
   25 Hackett    Boulevard
  Albany, NY 12208",Nursing home & long term home health care,Albany  | WIB: CAPITAL DISTRICT | Region: CAPITAL  DISTRICT,195,195,1/24/2006,3/24/2006,3/24/2006,Economic,,Plant  Closing,No  bumping rights exist; no union represents the affected employees.,"Sandra L. Zaleski, C.N.H.A. President & CEO",(518) 292-1350,1303
"Nationwide Credit, Inc.
   4700 Vestal    Parkway East
  Vestal, NY 13850",Debt Collection & accounts receivable management  services,Broome | WIB:  BROOME/TIOGA | Region: SOUTHERN  TIER,-----,368,1/30/2006,3/31/2006,--------,Closing a unit within the facility.,Mass Layoff,Mass  Layoff,Employees at the facility are not  represented by any labor organization.,"George A. Williams, CFO",(770) 933-6659,1305
"HSBC Bank USA, National Association (“the  Company”)
  (CS  Collections -""the Site"")
   95 Washington    Street
  Buffalo, NY 14273",Card Services Collections,Erie  | WIB: ERIE | Region: WESTERN  REGION,-----,86,2/1/2006,4/2/2006,4/2/2006,Economic,Plant Unit Closing,Plant  Unit Closing,Affected employees do not have bumping  rights.,"Marikit Salcedo, Director, Human Resources, Public  Relations
   One HSBC Center,  Floor 24
   Buffalo,   NY 14203",(212)  525-4321,1306
"Arrow Electronics, Inc.
   50 Marcus Drive
  Melville, NY 11747",Electronics,Suffolk | WIB: SUFFOLK | Region: LONG ISLAND,-----,19,2/3/2006,7/14/2006,-----,Economic,Other (Layoff  less than 50 employees),Workforce  Reduction,No union represents the affected employees.,"Susan Borello, HR Consultant",(631) 847-2845,1307
"Safe Space (Diagnostic Group Homes) 
  Anchor House
   217-04 137th    Avenue
  Laurelton, NY 11413",Diagnostic Group Homes,Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,28,28,2/15/2006,4/30/2006,5/1/2006,Economic,Closing,Plant  Closing,Affected employees are not represented by a  union.,"Isabel Arcay, Asst. VP of HR",(212) 226-3536 x240,1309
"Eight in One Pet Products, Inc. (Div. of United Pet  Group)
  2100 Pacific    Street
  Hauppauge, NY 11788-4737",Pet Products,Suffolk  | WIB: SUFFOLK | Region: LONG ISLAND,223,223,3/1/2006,5/5/2006,6/30/2006,Economic,,Plant  Closing,Affected employees are not represented by a  union.,"Diana Bischoff, VP, Human Resources",(631) 232-1200 ext. 160,1313
