Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Schweizer Aircraft Corp. (d/b/a Sikorsky Military Completions Center)Schweizer West facility – 74 Kahler Road North;North – 17 Aviation Drive;Offsite Warehouse facility – 200 Westinghouse CircleHorseheads, NY 14845",Military aircraft manufacturing,Chemung | WIB Name: CSS | Region: Southern Region,573,573,10/1/2012Amended 12/28/2012,All layoffs are expected to occur during the 14-day period commencing on 12/31/2012 and continuing through 3/17/2013 due to winding down of operations.,12/31/2012,Defense spending cuts,Plant Closing,Plant Closing,"United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), Local 1752","Allison Strife, Human Resources Manager",(607) 378-4677,3921
"Schweizer Aircraft Corp. (d/b/a Sikorsky Military Completions Center)Schweizer West facility – 74 Kahler Road North;North – 17 Aviation Drive;Offsite Warehouse facility – 200 Westinghouse CircleHorseheads, NY 14845",Military aircraft manufacturing,Chemung | WIB Name: CSS | Region: Southern Region,573,573,10/1/2012Amended: 12/24/2012,All layoffs are expected to occur during the 14-day period commencing on 12/31/2012. The company has extended some layoff dates beyond 12/31/2012. Layoffs are expected to occur during the 14-day period commencing on 12/31/2012 and continue through the 14-day period commencing on 3/15/2013.,12/31/2012,Defense spending cuts,Plant Closing,Plant Closing,"United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), Local 1752","Allison Strife, Human Resources Manager",(607) 378-4677,3919
,Financial Institution,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,46,12/10/2012 Amended 12/17/2012,to commence on or about 3/8/2013 or within 14 day period following,3/22/2013,Sale of Business-NBT bank will acquire some of the affected employees and neither site locations will be closed.,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.,"Colleen K. Lefeve, Sr Vice President, Human Resources",(315) 475-5890,3918
,Contract Workers,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,118,10/6/2012 Amended 12/20/2012,"The majority of the services provided will no longer be needed as of 1/6/2013, with a few exceptions lasting until 2/28/2013.",-----,"General Motor's decision to close the Honeoye Falls, NY site.",Plant Layoff,Plant Layoff,Non-union. There are no bumping rights.,"Elizabeth (Lee) DeFazio, HR Manager",(585) 768-9660,3917
"Solidus Industries, Inc.448 Commerce RoadVestal, NY 13850",Sheet Metal Fabricators,Broome | WIB Name: BROOME/TIOGA | Region: Southern Region,48,48,12/20/2012,"Will commence on 12/21/2012 and run through closing date of 1/25/2013.

Closing Date: 1/25/2013
Reason for Dislocation: Economic
ERNUM: 47-65792
Union: No bumping rights will exist.
Classification:Plant Closing",1/25/2013,Economic,Plant Closing,Plant Closing,No bumping rights will exist.,Frank Girardi,(315) 727-3589,3916
"Beth Emeth Home Attendant Service, Inc.1080 McDonald Avenue, 2nd FloorBrooklyn, NY 11230",Managed Care Operations,Kings | WIB Name: NEW YORK CITY | Region: New York City,769,769,12/19/2012,Between 3/12/2013 and 3/26/2013,3/26/2013,"Outsourcing to Premier Home Health Care Services, Inc.",Plant Closing,Plant Closing,1199 SEIU,"Isabella Levin, Program Director",(718) 253-2220,3915
"First Transit33-00 Northern BlvdLong Island City, NY 11101",Transit Company,Queens | WIB Name: NEW YORK CITY | Region: New York City,708,708,12/19/2012,-----,on or about 3/31/2013,Loss of Contract with New York City Transit Authority,Plant Closing,Plant Closing,"Transport Workers Union, Local 100",Sharon Shirley-Brown,(718) 393-4189,3914
,Farm,Queens | WIB Name: NEW YORK CITY| Region: New York City,209,176,12/14/2012 Amended 12/18/2012,-----,12/11/2012,Loss of contract,Plant Closing,Plant Closing,International Brotherhood of Teamsters Local 584,"Jeffrey Beyer, General Counsel",(917) 648-1270,3913
"Pfizer, Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals (production),Clinton | WIB Name: C-E-F-H | Region: North Country Region,-----,8,12/18/2012,3/23/2013,12/31/2013,Economic,Plant Closing,Plant Closing,Local 95c ICWU/UFCW,"Elaine M. Reynolds, Director, Human Resources",(518) 297-1697,3912
"Eurest Services @ American AirlinesJohn F. Kennedy International Airport Terminal 8Jamaica, NY 11430",Cleaning Services,Queens | WIB Name: NEW YORK CITY| Region: New York City,120,120,12/6/2012Amended 12/17/2012,-----,3/1/2013,Loss of Contract,Plant Closing,Plant Closing,"United Construction Trades and Industrial Employees, Local 621","John Do Carmo, Area Manager",(516) 319-3380,3908
