Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Ciba Corporation (now owned by BASF Corporation) Office Building
540 White    Plains Road
Tarrytown, NY 10591",Specialty chemical company,Westchester | WIB  Name: WESTCH/PTNM| Region: Mid-Hudson Region,300,2,12/17/2009,6/30/2010,-----,Economic,,Plant  Unit Closing,No bumping rights exist;  employees are not represented by a union.,"Cherie Hutton, Vice President Human Resources",(914) 785-2000,2541
"McQuade Childrens Services 
(School, Residential Treatment Center & Community  Based Services Center)
623 Blooming Grove Turnpike
New  Windsor, NY 12553",Provider of special education services to students  with disabilities,Orange | WIB Name: ORANGE| Region: Mid-Hudson Region,114,114,12/28/2009,-----,"Closing dates and layoffs  postponed to the 14-day period commencing on: 
  1/31/2010 - school
  4/1/2010 - residential treatment center
  1/31/2010 - Community-based services center","NYS Department of Education has removed this facility  as an approved provider 
  of special education services",Plant Closing,Plant  Closing,Communications  Workers of American Local 1120,"Jennifer Clum, Director of Human Resources",(845) 561-0436,2538
"OSI Pharmaceuticals, Inc. 
1 Bioscience Park Drive
Farmingdale, NY 11735",Pharmaceutical Distribution,Nassau| WIB Name: OYSTER BAY| Region: Long Island,8,8,12/28/2009,Layoffs  to occur between 3/31/2010 and 12/31/2010,12/31/2010,Economic,Plant Closing,Plant  Closing,There  are no bumping rights or unions.,"Linda E. Amper, PhD, Sr. Vice President, Human  Resources",(631) 962-2052,2537
"Black River Generating Facility
Second St West & Oneida Avenue
Fort Drum, NY 13602",Power  Generating Facility,Jefferson | WIB Name: JEFF/LEWIS| Region: North Country Region,33,33,12/28/2009,-----,3/26/2010,Contemplation of Sale,,Plant  Closing,There  will be no bumping rights exercised.,"Jack Wolf, President",(315) 448-2266,2536
"Ryko Distribution Inc. (subsidiary of Warner Music  Inc.)
30 Irving Place, 3rd Floor
New York, NY 10003",Tape and Record Reproducing,New York | WIB  Name: NEW YORK CITY| Region: New York City,1,1,12/28/2009,3/31//2010 (postponed from original layoff date of  12/31/2009),"Operations  have closed at this site. Remaining  employees have been transferred to 
  72 Spring Street  location.",Economic,,Plant  Closing,There are no bumping rights  and affected employees are not represented by any union.,"Addie Adeniran, Vice President, Human Resources",(212) 275-1340,2535
"Eastman Kodak Company - Office
343 State Street
Rochester, NY",Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,7,12/28/2009,To  occur between 3/13/2010 and 3/17/2010,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee  Services",(585) 781-1896,2533
"American Steamship Company
500 Essjay Road
Williamsville, NY 14221",Shipping & Transportation,Erie  | WIB: ERIE| Region: WESTERN REGION,-----,319 - order of layoffs will be determined by seniority  as necessary,12/23/2009,Will potentially occur between 3/25/2010 to 4/7/2010,-----,Economic,Conditional  Plant Layoff,Conditional  Plant Layoff,American Maritime Officers Union/Seafarers  International Union/Steelworkers Union,"Kevin McMonagle, Vice President Human Resources and  Risk Management",(716) 635-0222,2531
"John Deere
         Parts Distribution Center
       6401 Deere Road
       Syracuse, NY 13206",Parts Distribution Center,Onondaga | WIB Name: ONONDAGA| Region: Central Region,25,25,12/22/2009,-----,3/31/2010,Economic,Plant Closing,Plant  Closing,No  bumping rights exist for the affected employees.,"Nancy Orlich, Human Resources Manager",(309) 756-1400,2530
"Raytel Cardiac Services, Inc. 
  DBA Philips Remote Cardiac Services
   1979 Marcus    Avenue, Suite C101
   Lake Success, NY 11042",Remote healthcare monitoring,Nassau| WIB Name: OYSTER BAY| Region: Long Island,-----,3,12/21/2009,"3/18/2010-1 affected, 3/25/10-1 affected, 3/31/10-1  affected",5/21/2010,Economic,Plant Closing,Plant  Closing,"No bumping rights exist for  this termination. No union representation for affected 
  employees.","John K. Skrypak, Vice President, Employment Law",(978) 659-4507,2528
"The Princeton Review
        2315 Broadway
        New York, NY 10024",Education  Preparation Company,New York | WIB  Name: NEW YORK CITY| Region: New York City,"35-An  additional 55 employees in the Supplemental Educational Services Unit 
  will be  transferred to another site location and will not be affected by layoffs.",35,12/21/2009,-----,3/17/2010,Economic,Plant Closing,Plant  Closing,No bumping rights exist among these non-union employees.,Sharon  Thole Haverlak,(570)  961-4811,2527
"US Airways
  LaGuardia Airport
  Flushing, NY 11371",Airlines,New York | WIB  Name: NEW YORK CITY| Region: New York City,-----,"24 All impacted pilots and flight attendants  were offered and accepted transfers 
  to alternate locations, leaving less than 25 employees  permanently impacted by this layoff.",12/21/2009,Between  1/31/2010 and 2/14/2010,-----,Economic,,Plant  Layoff,"AFA  MEC Mike Flores, President/USAPA Mike Cleary, President

  Classification:  Plant Layoff","Toya Allen, Director, Human Resources",(480) 693-8609,2526
