Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Jersey Lynne Farms, Inc. 8801 Foster Avenue Brooklyn, NY 11236",Wholesale Food Distributor,Kings | WDB Name: NEW YORK CITY | Region: New York City,56,56,12/26/2018,3/30/2019,3/30/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Michael Loconte, President",(718) 649-6730 Ext: 123,11-2205343,2018-0209,6647
"Globe Metallurgical Inc. (a subsidiary of Ferroglobe PLC)  3807 Highland Avenue  Niagara Falls, NY 14305",,Niagara  |WDB Name: NIAGARA | Region: Western Region,,,,,,,Plant Closing,,"Local 9436-5  United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied  Industrial and Service Workers International Union (USW).","Michelle  Mycek, Human Resources",(716) 278-6105,,,6646
"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System 3 East Industrial Parkway Troy, NY 12180",Linen rental and commercial laundry service to the healthcare industry,Rensselaer | WDB Name: CAPITAL DISTRICT | Region: Capital Region,10,10,12/19/2018,"Potential employment separations may occur or commence as soon asMarch 19, 2019 and during a period thereafter.",To be Determined,Chapter 11 and sale of business,Possible Plant Layoff/Closing,Possible Plant Layoff/Closing,"Laundry, Dry Cleaning & Allied Workers Joint Board","Tracey Thomas, Payroll Supervisor",(716) 270-4970 Ext: 1117,26-2672681,2018-0204,6645
"Crothall Healthcare (Environmental Services at Crystal Run  Healthcare)  95 Crystal Run Road  Middletown, NY 10941",Environmental Services,Orange | WDB Name: ORANGE | Region: Mid-Hudson Region,31 (11 employees have been  placed in other employment),20,12/17/2018,11/30/2018  (10); 12/31/2018 (10),11/30/2018 and 12/31/2018,Loss of contract to  provide environmental services at the facility.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Bernadette  Medina, Human Resources Consultant",(914) 426-8240,63-1053451,2018-0202,6644
"Lucky 8 TV, LLC  99 Hudson Street, 2nd Floor  New York, NY 10013",,New York | WDB Name: NEW YORK CITY | Region: New York City,,,12/21/2018,"Layoffs will occur December 21, 2018 through and including approximately January 11, 2019.",,,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Cassandra Shalansky, Director of Operations and HR",(347) 269-1422,,2018-0206,6643
"Barclays Services Corp.(Chief Operating Office teams)745 Seventh Avenue New York, NY 10019",Investment bank,New York |WDB Name: NEW YORK CITY | Region: New York City,"5,242",64,11/28/2018Amended: 12/19/2018,"The second wave of separations are scheduled to begin on February 27, 2019 and be completed by March 31, 2019.",-----,"Relocating a number of the Chief Operating Office teams to Whippany, NJ",Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Linda Fox, Director, Employee Relations",(212) 526-5862,13-3714398,2018-0187,6642
"Royal Industries 225 25th Street Brooklyn, NY 11232",Manufacturers of vinyl Advertising Specialties and Vinyl Packaging,New York |WDB Name: NEW YORK CITY | Region: New York City,77,77,9/21/2018  Amended: 12/20/2018,Individual employees who do not accept a transfer will be terminated during the 14-day period commencing on 1/11/2019 and ending on 1/24/2019.,1/11/2019,"Relocation of operations to Allentown, Pennsylvania.",Plant Closing,Plant Closing,UFCW Local 312,"Ari Ruden, VP",(718) 369-3046 Ext: 100,13-5557433,2018-0129,6641
"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network(Warehouse/distribution and office functions) 2060 9th Avenue Ronkonkoma, NY 11779",Warehouse/distribution center and office functions for Joy Mangano and other household products,Suffolk |WDB Name: SUFFOLK | Region: Long Island,66,66,10/17/2018 Amended: 12/21/2018,"Layoffs will occur during a 14-day period starting on 12/28/2018, 1/18/2019 and 2/28/2019. Fourteen (14) of the employment separations are now expected to occur on 3/1/2019 or during the 14-day period beginning on 3/1/2019.",3/1/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Dan Owens, VP - People, HSN & CBI",(727) 872-5315,59-3617032,2018-0131,6640
"Ivy Enterprises, Inc.(Warehouse)3 Seaview BlvdPort Washington, NY 11050","Fingernails, Artificial Business",Nassau | WDB Name: HEMPSTEAD | Region: Long Island,132,17,10/9/2018 Amended: 12/21/2018,3/22/2019,3/22/2019,Moving warehouse functions to New Jersey,Plant Closing,Plant Closing,The employees are not represented by a union.,"Heather Han, Senior HR Manager",(516) 625-9292,11-3498468,2018-0126,6639
"DJDatARLOnomad LLC dba Massoni (at Arlo NOMAD) 11 East 31st Street New York, NY 10016",Restaurant,New York |WDB Name: NEW YORK CITY | Region: New York City,51,51,12/20/2018,1/31/2019,1/31/2019,"Termination of management agreement by the hotel, Arlo NOMAD",Plant Closing,Plant Closing,The employees are not represented by a union.,"David Massoni, Operator",(917) 509-2925,65-0121767,2018-0207,6638
"Centerstone Linen Services, LLC d/b/a Clarus Linen System 60 Grider Street Buffalo, NY 14215",Linen rental and commercial laundry service to the healthcare industry,Erie |WDB Name: ERIE | Region: Western,24,24,12/19/2018,"Potential employment separations may occur or commence as soon as March 19, 2019 and during a period thereafter.",To Be Determined,Chapter 11 and sale of business,Possible Plant Layoff/Closing,Possible Plant Layoff/Closing,The employees are not represented by a union.,"Tracey Thomas, Payroll Supervisor",(716) 270-4970 Ext: 1117,26-1825594,2018-0205,6637
"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System 60 Grider Street Buffalo, NY 14215",Linen rental and commercial laundry service to the healthcare industry,Erie |WDB Name: ERIE | Region: Western,146,146,12/19/2018,"Potential employment separations may occur or commence as soon asMarch 19, 2019 and during a period thereafter.",To Be Determined,Chapter 11 and sale of business,Possible Plant Layoff/Closing,Possible Plant Layoff/Closing,"Rochester Regional Joint Board, Local 51 and International Union of Operating Engineers, Local 17-175, AFL-CIO","Tracey Thomas, Payroll Supervisor",(716) 270-4970 Ext: 1117,26-2672681,2018-0203,6636
"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System 414 West Taylor Street Syracuse, NY 13202",Linen rental and commercial laundry service to the healthcare industry,Onondaga | WDB Name:ONONDAGA | Region:Central,161,161,12/19/2018,"Potential employment separations may occur or commence as soon asMarch 19, 2019 and during a period thereafter.",To Be Determined,Chapter 11 and sale of business,Possible Plant Layoff/Closing,Possible Plant Layoff/Closing,"Rochester Regional Joint Board, Workers United, an affiliate of SEIU and Teamsters Local 294","Tracey Thomas, Payroll Supervisor",(716) 270-4970 Ext: 1117,26-2672681,2018-0201,6635
"Celmatix Inc. (Operations Office) 14 Wall Street New York, NY 10005",Biotechnology company,New York | WDB Name: NEW YORK CITY | Region: New York CityCounty: Kings | WDB Name: NEW YORK CITY | Region: New York City,48,48,12/17/2018,"Employment terminations are expected to take place on February 1, 2019 or within the 2-week period beginning February 1, 2019.",2/1/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Colleen Lauria, Interim Senior HR Lead",(917) 371-2506,26-4812293,2018-0199,6634
"Hudson Bar @ Hudson Hotel 358 West 58th Street New York, NY 10019",Food services,New York | WDB Name: NEW YORK CITY | Region: New York City,9,9,12/11/2018,3/11/2019,3/11/2019,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO Local 6","Claes Landberg, General Manager",(212) 554-6400,-----,2018-0198,6633
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)560 Fifth Avenue, 3rd FloorNew York, NY 10036",Restaurants,New York | WDB Name: NEW YORK CITY | Region: New York City,86,86,7/13/2018Amended: 12/18/2018,Layoffs postponed from a 14-day period beginning on 12/31/2018 to a 14-day period beginning on 1/31/2019.,1/31/2019,Expiration of lease,Plant Closing,Plant Closing,The employees are not represented by a union.,"Ann Martinez, CFO",(212) 560-1658,13-3031720,2018-0006,6632
"CBS EcoMedia Inc.28 East 28th StreetNew York, NY 10016","Advertising services for education, health and wellness, and environmental sustainability areas",New York |WDB Name:NEW YORK CITY | Region:New York City,32,32,12/13/2018,3/15/2019,3/15/2019,CBS Corporation has determined to permanently wind-down its involvement with CBS EcoMedia Inc.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Marlene Baez, Vice President, Human Resources",(212) 975-0555,20-3548677,2018-0197,6631
"Cortland Pump and Equipment, Inc. 842 Bennie Rd. Cortland, NY 13045","Sales, parts, installations, service - serving the petroleum industry",Cortland |WDB Name: CAYUGA/CORT | Region: CentralCounty: Monroe | WDB Name: MONROE | Region: Finger Lakes,14,14,12/3/2018,"Employee separations begin on March 3, 2019 and on various dates through April 7, 2019.",4/7/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Lisa Toscano, Human Resources Administrator","(315) 446-0125, Ext: 106",16-1302963,2018-0194,6630
