Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Olympus Imaging America Inc. and Olympus Corporation of the Americas 400 Rabro Drive Hauppauge, NY 11788",Camera Service and repair,Suffolk | WIB Name: SUFFOLK | Region: Long Island,41,41,12/30/2014,To occur between 3/31/2015 and 4/30/2015,4/30/2015,Economic,Plant Closing,Plant Closing,"No union representation and no applicable policies for transfer, bumping or reassignment rights.","Jim Devine,  Director, HR Compliance",(484) 896-5060,4911
"Pitney Bowes Presort Services 22 Miller Place Hicksville, NY 11801","Postage  meters, mail machines, shipping, address mapping",Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,85,60,12/30/2014 Amended: 12/31/2014,3/30/2015 or during the 14 day period that begins on that date,-----,Economic,Plant Layoff,Plant Layoff,There is no union that represents affected employees. There are no bumping rights.,Roopa Mehta,(516) 822-0900  Ext 115,4910
"The Pederson Krag Center,  Inc. 55 Horizon Drive Huntington, NY 11743",Mental Health Clinic,Suffolk | WIB Name: SUFFOLK | Region: Long Island,46,46,12/8/2014,-----,on or about 3/2/2015,New entity to take over operations of all sites,Plant Closing,Plant Closing,There are no bumping rights. Affected employees are not represented by a union.,"Lauren  Gasparine, Human Resource Manager, PSCH, Inc.",(718) 559-0529,4909
"Flexovit USA, Inc. 1305 Eden Evans Center Road Angola, NY 14006",Certified manufacturer & distributor of abrasives – closed for production,Erie | WIB Name: ERIE | Region: Western Region,78,63,12/18/2014,will occur in phases beginning on 12/1/2014,-----,Weather event - roof collapse,Plant Layoff,Plant Layoff,"International Association of Machinists & Aerospace Workers of America, District 65","Robert M. Riehle, Director of Manufacturing & Human Resources",(716) 725-1487,4908
"Pitney Bowes Presort Services 22 Miller Place Hicksville, NY 11801","Postage meters, mail machines, shipping, address mapping",Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,-----,62,12/30/2014,3/30/2015 or during the 14 day period that begins on that date,-----,Economic,Plant Layoff,Plant Layoff,There is no union that represents affected employees. There are no bumping rights.,Roopa Mehta,(516) 822-0900 Ext 115,4907
"Rivington House The Nicholas A. Rango Healthcare Facility 45 Rivington Street New York, NY 10002",Residential  facility,New York | WIB Name: NEW YORK CITY | Region: New York City,214,214,7/28/2014 Amended: 12/26/2014,Layoffs to occur 10/31/2014 through 12/31/2014 or within 14 days thereafter,12/31/2014,Economic,Plant Closing,Plant Closing,"Special and Superior Officer Benevolent Association, 1199 SEIU United Healthcare Workers East","Karen  Zemsky-Czizsik, Human Resources Director",(212) 337-5781,4906
"The Robert Mapplethorpe  Residential Treatment Facility 327 East 17th Street New York, NY 10003",Residential Treatment Facility,New York | WIB Name: NEW YORK CITY| Region: New York City,33,33,9/18/2014Amended 12/15/2014,-----,postponed closing to occur on 1/17/2015 or during the two week period before or  following this date,Economic,Plant Closing,Plant  Closing,"1199 SEIU United Healthcare Workers East, 1199 RN  Division",Melissa  Greiner,(212) 844-7653,4905
"GTECH Corporation 317 Lenox Avenue - 6th Floor New York, NY 10027",Gaming Technologies and Services,New York | WIB Name: NEW YORK CITY | Region: New York City,31,31,12/16/2014,1/31/2015,1/31/2015,The New York Lottery is terminating their retailer support program contract.,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Lynn Wyllie, Senior Human Resources Manager",(401) 392-7092,4903
"Opflex Environmental Technologies 12 New Street St. Johnsville, NY 13452",Manufactures and sells specialized foams -- used in people’s everyday lives and to filter oil and contamination from water.,Montgomery | WIB Name: FMS | Region: Mohawk Valley Region,51,51,12/17/2014,3/20/2015,3/20/2015,Eviction by the building owner,Potential Plant Closing,Potential Plant Closing,None of the affected employees are represented by a union.,Valorie Mowrey,(518) 568-7036 ext. 108,4902
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,12/15/2014,3/14/2015,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights  do not exist.,"Mary C.  Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4901
"Institutes of Applied Human Dynamics, Inc. 2213 East Tremont Avenue Bronx, NY 10462","Preschool, Early Intervention and Evaluation",Bronx | WIB Name: NEW YORK CITY | Region: New York City,44,44,12/17/2014,-----,3/15/2015,Economic,Plant Closing,Plant Closing,Retail Wholesale Department Store Union/United Food and Commercial Workers Local 338,"Bruce Stern, Director of Human Resources",(914) 220-4344,4900
"RBC Capital Markets Global Arbitrage and Trading Brookfield Place 200 Vesey Street New York, NY 10281",Financial Investment Firm,New York | WIB Name: NEW YORK CITY| Region: New York City,130,1,12/11/2014,3/11/2015,-----,Economic,Plant Layoff,Plant  Layoff,RBC does not  recognize bumping rights. Employees are  not represented by any union.,Rachel Behrens,(212) 618-3279,4898
"Ferguson NY Metro, Inc. 57-22 49th Street Maspeth, NY 11372",Plumbing  Supplies,Queens  | WIB Name: NEW YORK CITY| Region: New York City,-----,42,12/15/2014,Between 3/15/2015 and 3/31/2015,-----,Economic,Plant Layoff,Plant  Layoff,"United Food and Commercial Workers, Local 888","Marjorie A. Adams, Deputy General Counsel",(757) 989-2992,4897
"Eaton's Cooper Power Systems 1648 Dugan Road Olean, NY 14760",Manufacturing,Cattaraugus | WIB Name: ALL/CAT| Region: Western Region,172,36,12/11/2014,3/13/2015,-----,Consolidation of the distribution of arrestor  manufacturing operations,Plant Layoff,Plant  Layoff,No union representation. Bumping rights  do exist.,"Jennifer Noll,  Human Resources Manager",(716) 375-7118,4896
"Amalgamated Bank - Branch 24 426 86th Street Brooklyn, NY 11209",Bank,Kings/Queens/Bronx | WIB Name: NEW YORK CITY | Region: New York City,4,4,12/9/2014,to occur  between 3/31/2015 and 4/13/2015,4/13/2015,Economic,Plant Closing,Plant Closing,"OPEIU, Local 153","Toni-Ann  Sforza, First Vice President of Human Resources",(212) 895-4354,4894
"Seneca Data Distributors - wholly-owned subsidiary of Arrow Electronics, Inc. 7401 Round Pond Road N. Syracuse, NY 13212",Electronics warehouse,Onondaga | WIB Name: ONONDAGA | Region: Central Region,65,65,12/9/2014,-----,3/9/2015,"Warehouse operations will be relocated to a sight in Phoenix, Arizona",Plant Unit Closing,Plant Unit Closing,"No union represents the affected employees, nor do they have bumping rights.","Sarah Stanson, Vice President, Human Resources",(303) 824-4186,4893
"Forest Laboratories, LLC 500 Commack Road Commack, NY 11725",Commercial Packaging Operations-Pharmaceuticals,Suffolk  | WIB Name: SUFFOLK| Region: Long Island Nassau  | WIB Name: OYSTER BAY| Region: Long Island New York  | WIB Name: NEW YORK CITY| Region: New York City,----,130 affected for Long  Island locations – 47 of  the total include remote sales staff,9/5/2014Amended 12/5/2014,90 days  from the date of notice,500  Commack Road location is not closing,Purchased by Actavis – relocation of most of its  operations to New Jersey,Plant Layoff,Plant  Layoff,Affected  employees are not represented by a union.,Kellie S.  Sears VP of HR Operations and Policies,(314) 493-7110,4892
"Novartis Pharmaceuticals  Corporation 25 Old Mill Road Suffern, NY 10901",Pharmaceutical Manufacturing,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,----,22,12/9/2014,3rd phase  of layoffs occurring between 3/31/2015 and the  14-day period following.,To  occur in 2016 – no definite date  indicated at this time.,Economic,Plant Closing,Plant  Closing,No union  representation; bumping arrangements are not available for affected  employees.,"Luz Rodgers,  Head of Human Resources",(845) 368-6086,4891
"dELiA’s, Inc. 50 West 23rd Street New York, NY 10010",Retail Clothing,New York | WIB Name: NEW YORK CITY| Region: New York City,124,124,12/5/2014,Layoffs  to occur between 12/5/2014 and 4/15/2015,4/15/2015,Economic,Plant Closing,Plant  Closing,Bumping rights  do not exist.,"David Diamond,  SVP Human Resources",(212) 590-6204,4890
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,-----,4 - 1 person affected at an off-site  location,12/4/2014,1/31/2015,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights  do not exist.,"Mary C.  Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4889
"Rivington House The Nicholas A. Rango  Healthcare Facility 45 Rivington Street New York, NY 10002",Residential  facility,New York | WIB Name: NEW YORK CITY| Region: New York City,231,231,7/28/2014Amended 12/4/2014,Layoffs to occur 10/31/2014 through 12/12/2014 or within 14 days thereafter,12/12/2014,Economic,Plant Closing,Plant Closing,"Special and  Superior Officer Benevolent Association, 1199 SEIU United Healthcare Workers  East","Karen  Zemsky-Czizsik, Human Resources Director",(212) 337-5781,4888
"RA Herald Square, LLC./Patina Restaurant Group Macy's Cellar Bar & Grill and Cucina at Macy's Herald Square 151 West 34th Street New York, NY 10001",Restaurants,New York | WIB Name: NEW YORK CITY | Region: New York City,89,89,12/1/2014,During the 14-day period beginning on 2/2/2015,2/2/2015,Remodeling,Temporary Plant Closing,Temporary Plant Closing,There are no bumping rights.,"Julie Van, Senior HR Manager",(213) 814-3032,4886
"Penguin Random House 1 Grosset Drive Kirkwood, NY 13795",Book Publishers,Broome | WIB Name: BROOME/TIOGA | Region: Southern Region,286,286,11/25/2014,"Layoffs will occur between January 31, 2015 and September 30, 2015.",9/30/2015,Consolidation of operations,Plant Closing,Plant Closing,Employees are not represented by a union and bumping rights do not exist.,"Debbie Zeman, Human Resources Manager",(607) 775-6357,4885
"Shorefront Center for  Rehabilitation & Nursing Care 3015 W. 29th Street Brooklyn, NY 11224",Nursing Home,Kings | WIB Name: NEW YORK CITY | Region: New York City,482,482,12/30/2013 Amended: 11/20/2014,------,12/11/2014,Sale of Business,Plant Closing,Plant Closing,1199 SEIU,"Elliot Brooks, Senior Vice President, HR",(718) 630-2555,4884
"Rivington House The Nicholas A. Rango Healthcare Facility 45 Rivington Street New York, NY 10002",Residential  facility,New York | WIB Name: NEW YORK CITY| Region: New York City,231,231,7/28/2014 Amended: 11/19/2014,Twenty-nine layoffs were postponed to occur between 12/5/2014 and 12/19/2014,11/28/2014,Economic,Plant Closing,Plant Closing,"Special and Superior Officer Benevolent Association, 1199 SEIU United Healthcare Workers East","Karen Zemsky-Czizsik, Human Resources Director",(212) 337-5781,4882
"Bank of America 50 Rockefeller Plaza New York, NY 10020",Financial,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,95,11/19/2014,Beginning on 2/17/2015,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist.,"John  Collingwood, Senior VP",(202) 661-7130,4881
"Holiday Inn Express & Suites – Bullock Hospitality Albany Airport / 400 Old Loudon Road Latham, NY 12110",Hotel,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,50,50,11/21/2014,-----,2/15/2015,Contract Loss,Plant Closing,Plant Closing,No bumping rights exist.,Tod J. Hanlon,(518) 783-6161,4880
"Eastman Kodak  Eastman Business Park 1669 Lake Avenue Rochester, NY",Photographic equipment and supplies,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,-----,8,11/13/2014,2/10/2015,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights  do not exist.,"Mary C.  Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4876
"Daikin Applied 4900 Technology Park Boulevard Auburn, NY 13021",Air conditioning manufacturing,Cayuga | WIB Name: CAYUGA/CORT | Region: Central Region,310,32,11/11/2014,(3rd phase) layoffs will occur on 2/11/2015.,12/31/2015,Economic,Plant Closing,Plant Closing,"United Steelworkers, Local 32","Matthew Alexejun, Director, Human Resources",(315) 282-6296,4872
"SUNY Downstate Medical Center at LICH - StaffCo of Brooklyn LLC 339 Hicks Street Brooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,150,132,3/25/2013Amended: 11/10/2014,Remaining layoffs are postponed to occur between 11/22/2014 and 1/13/2015.,Remaining layoffs are postponed to occur between 11/22/2014 and 1/13/2015.,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca  Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4871
"Eastman Kodak  Eastman Business Park 1669 Lake Avenue Rochester, NY  14652",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,4 (2 employees not on site),11/6/2014,2/3/2015,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4870
"Warner Bros. Worldwide Television Distribution, Inc. 1325 Avenue of the Americas New York, NY 10019",Production Company,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,2,11/6/2014,2/7/2015,-----,Economic,Plant Layoff,Plant Layoff,No union employees were affected.,"Sheila Sparks, Vice President & Senior Employment Counsel",(818) 954-7750,4869
"Forest Laboratories, LLC 500 Commack Road Commack, NY 11725",Commercial Packaging Operations-Pharmaceuticals,Suffolk  | WIB Name: SUFFOLK| Region: Long Island Nassau  | WIB Name: OYSTER BAY| Region: Long Island New York  | WIB Name: NEW YORK CITY| Region: New York City,----,105 affected for Long  Island locations,9/5/2014Amended 11/7/2014,90 days  from the date of notice,500  Commack Road location is not closing,Purchased by Actavis – relocation of most of its  operations to New Jersey,Plant Layoff,Plant  Layoff,Affected  employees are not represented by a union.,Kellie S.  Sears VP of HR Operations and Policies,(314) 493-7110,4868
"Castle Oil Corporation 440 Mamaroneck Avenue Harrison, NY 10528",Fuel Oils,Westchester | WIB Name: WESTCH/PTN | Region: Mid-Hudson Region Bronx | WIB Name: NEW YORK CITY | Region: New York City,78,78,11/4/2014,to occur between 12/3/2014 and 12/15/2014,12/15/2014,Sale of business,Plant Closing,Plant Closing,"International Brotherhood of Teamsters, Local 553","Michael M. Meadvin, SVP & General Counsel",(914) 381-6508,4866
"Suffolk Bus Corp 1980 Pond Road Ronkonkoma, NY 11779",Transportation Service,Nassau | WIB Name: SUFFOLK | Region: Long Island,-----,0,9/29/2014Notice Rescinded 11/7/2014,1/1/2015,-----,Contract expiration,Potential Plant Layoff,Potential Plant Layoff,"Transport Workers Union, Local 252",Phil DiDomenico,(631) 665-3245 Ext 4151,4865
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY  14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,11/4/2014,2/1/2015,-----,Economic,Plant Layoff,Plant   Layoff,Bumping rights do not exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4864
"Oak-Mitsui Technologies, LLC 80 First Street Hoosick Falls, NY 12090",Copper foil bonding,Rensselaer | WIB Name: CAPITAL DISTRICT | Region: Capital Region,29,29,11/7/2014,to occur between 2/5/2015 and 3/31/2016,2/5/2015,Economic,Plant Closing,Plant Closing,There will be no bumping rights for affected employees.,"Valerie Risinger, Human Resources Manager",(803) 425-7906,4862
